SAMPLE_NO,LONGITUDE,LATITUDE,Ca_ppm,Cu_ppm,K_ppm,Mn_ppm,Ti_ppm
4107557,137.87359,-34.5457628,8097,12,12479,98,2248
4108068,137.8677594,-34.5425197,9395,12,15944,173,2217
4107721,137.8702858,-34.5447138,58343,12,12786,186,2127
4108311,137.8753321,-34.5409894,17869,12,8963,90,2091
4107958,137.876498,-34.5432154,6545,12,11474,148,2071
4108345,137.8747801,-34.540777,10281,12,11385,128,1944
4108001,137.8685912,-34.5429509,18698,12,14769,170,1875
4107667,137.8749273,-34.5450552,2695,12,10681,89,1829
4107141,137.8736752,-34.5482397,60644,12,13069,144,1828
4107050,137.8701529,-34.5487733,31159,12,11789,141,1734
4108130,137.8750987,-34.5421216,5345,12,11467,72,1732
4107598,137.875215,-34.5454991,4142,12,10405,85,1709
4108441,137.8698589,-34.5402168,70049,12,15870,241,1708
4107468,137.8670744,-34.5463668,12990,12,12830,113,1676
4107899,137.8707913,-34.5435751,26557,12,12214,154,1670
4108420,137.8744925,-34.5403331,4787,12,11635,52,1666
4107969,137.8696874,-34.5431504,49374,12,10820,231,1644
4108329,137.8704264,-34.5408795,38122,12,17740,436,1625
4107410,137.8725324,-34.5466891,43208,12,10025,80,1579
4108237,137.8748034,-34.5414526,16273,12,8567,123,1526
4107048,137.8696086,-34.5487861,5402,12,10302,87,1474
4108381,137.8742281,-34.5405646,7831,12,15843,52,1451
4107107,137.8750436,-34.5484327,54172,12,11187,84,1414
4107816,137.8678135,-34.544096,47104,12,12631,236,1408
4107552,137.8722293,-34.5457948,41379,12,11635,98,1364
4107502,137.8670667,-34.5461416,5988,12,9431,93,1362
4108539,137.8758298,-34.5396255,71920,12,10820,86,1209
4108143,137.8688324,-34.5420438,13895,12,10721,260,1096
4106950,137.8748024,-34.5493399,38957,12,32015,89,750
4107244,137.8698421,-34.5476538,33225,12,7831,162,619
4106982,137.8728897,-34.5491596,33025,12,11902,100,456
4106882,137.8669182,-34.5497507,13552,12,14635,123,427
4108037,137.8685834,-34.5427257,84984,11,10716,244,3942
4108010,137.8710402,-34.5428933,80436,11,11660,265,3657
4107990,137.8754018,-34.5430159,56118,11,9329,190,3465
4107795,137.871903,-34.5442252,83103,11,11570,126,3276
4108247,137.8677207,-34.5413939,31427,11,15296,467,3191
4107961,137.8675104,-34.5432016,59824,11,9793,127,3050
4108393,137.8671456,-34.540506,13277,11,20042,376,2940
4108256,137.8701697,-34.5413363,24840,11,17158,416,2921
4108011,137.8713123,-34.5428869,38391,11,15351,484,2738
4107776,137.8762647,-34.5443477,11993,11,16587,191,2702
4108220,137.8701775,-34.5415615,14300,11,17875,534,2563
4108366,137.8701465,-34.5406607,21643,11,14923,297,2407
4108153,137.8715535,-34.5419798,48526,11,16889,325,2380
4108286,137.8685293,-34.5411496,9488,11,14640,474,2338
4107053,137.8709693,-34.5487541,40849,11,12922,185,2298
4108150,137.8707372,-34.541999,120255,11,12139,216,2297
4107764,137.8729992,-34.5444246,32005,11,14567,163,2152
4107728,137.8724627,-34.5446626,24911,11,12211,157,2146
4106906,137.8734495,-34.5495971,52592,11,13848,159,2073
4106808,137.8680222,-34.5501755,36384,11,12899,168,2028
4108269,137.8737072,-34.541253,15748,11,11371,108,2028
4107794,137.8716309,-34.5442316,36316,11,10716,186,2005
4107623,137.872486,-34.5453381,57781,11,15572,162,1967
4108167,137.8753631,-34.5418901,9733,11,9253,95,1964
4107625,137.8730302,-34.5453253,24804,11,13769,194,1963
4108199,137.8742669,-34.5416905,19824,11,17742,126,1939
4107697,137.873559,-34.5448622,6108,11,12774,123,1789
4108070,137.8683036,-34.5425069,11977,11,23472,164,1746
4108460,137.875029,-34.5400951,64176,11,9807,89,1651
